name,source,type,cleaned_name,freq
arugula,jobimtext,seed=lettuce;cui=0,arugula,4861
cinnamon,jobimtext,seed=chocolate;cui=0,cinnamon,22285
cadbury,jobimtext,seed=chocolate;cui=0,cadbury,20544
parmesan,jobimtext,seed=chocolate;cui=0,parmesan,9881
butter,jobimtext,seed=chocolate;cui=1,butter,122657
vanilla,jobimtext,seed=chocolate;cui=1,vanilla,34091
caramel,jobimtext,seed=chocolate;cui=1,caramel,9837
cheese,jobimtext,seed=chocolate;cui=1,cheese,157167
coffee,jobimtext,seed=beer;cui=0,coffee,299093
garlic,jobimtext,seed=onion;cui=0,garlic,80265
spinach,jobimtext,seed=onion;cui=0,spinach,24704
tomato,jobimtext,seed=onion;cui=1,tomato,50917
potato,jobimtext,seed=onion;cui=1,potato,62292
mushroom,jobimtext,seed=onion;cui=1,mushroom,24954
chicken,jobimtext,seed=onion;cui=1,chicken,201188
sausage,jobimtext,seed=bacon;cui=0,sausage,29465
sarandon,jobimtext,seed=bacon;cui=1,sarandon,8597
theron,jobimtext,seed=bacon;cui=1,theron,8704
brosnan,jobimtext,seed=bacon;cui=1,brosnan,9899
cheddar,jobimtext,seed=bacon;cui=2,cheddar,6675
picasso,jobimtext,seed=bacon;cui=3,picasso,39584
warhol,jobimtext,seed=bacon;cui=3,warhol,22546
matisse,jobimtext,seed=bacon;cui=3,matisse,12975
lichtenstein,jobimtext,seed=bacon;cui=3,lichtenstein,9735
cherry,jobimtext,seed=plum;cui=0,cherry,60536
blueberry,jobimtext,seed=plum;cui=0,blueberry,5995
tewksbury,jobimtext,seed=plum;cui=1,tewksbury,3916
fenwick,jobimtext,seed=plum;cui=1,fenwick,7410
nashoba,jobimtext,seed=plum;cui=1,nashoba,1632
oakmont,jobimtext,seed=plum;cui=1,oakmont,5460
walpole,jobimtext,seed=plum;cui=1,walpole,10942
bakery,jobimtext,seed=plum;cui=2,bakery,28808
restaurant,jobimtext,seed=plum;cui=2,restaurant,456304
lounge,jobimtext,seed=plum;cui=2,lounge,63313
huntingdon,jobimtext,seed=plum;cui=4,huntingdon,15206
monroeville,jobimtext,seed=plum;cui=4,monroeville,2375
honolulu,jobimtext,seed=plum;cui=4,honolulu,42310
mckeesport,jobimtext,seed=plum;cui=4,mckeesport,1581
newtown,jobimtext,seed=plum;cui=4,newtown,13882
